N°	Nombre del Evento	Descripción	Fecha	Lugar / Dirección	Barrio	Precio	Info Extra
1	Alkantara Festival '25	Festival internacional de teatro, danza y otras artes escénicas contemporáneas.	14 nov - 23 nov	Varios lugares (Teatros y espacios culturales)	Variado	Consultar programación	Aborda prácticas artísticas en la sociedad contemporánea.
2	Moscatel Festival	Exhibición de vinos y productos a base de Moscatel, catas, show cooking y street food.	21 nov - 23 nov	A verificar	A verificar	Entrada gratuita	¡Ideal para amantes del vino Moscatel!
3	Luces Navideñas (Inauguración)	Encendido de las luces de Navidad que decoran la ciudad.	22 nov - 04 ene, 2026	Calles principales de la Baixa, Chiado y otros barrios.	Baixa, Chiado	Gratuito	Momento mágico para ver la ciudad iluminada.
4	Brunch Electronik + NEOPOP BY NIGHT	Evento de música electrónica (Techno, House).	A verificar	Pavilhão Carlos Lopes	Avenidas Novas	Alrededor de 38-39€	Uno de los eventos de electrónica más populares de la ciudad.
5	Boa Viagem: Leon Vynehall • Young Marco & Boavista 4Y Party	Fiesta de aniversario de 4 años con DJ sets de House, Trance y Disco.	A verificar	Those Who Dance	A verificar	Alrededor de 25€	Fuerte enfoque en música de baile electrónica.
6	Trienal de Arquitectura de Lisboa 2025	Exposición y debate sobre cómo hacer ciudades más ligeras y sostenibles.	02 oct - 08 dic, 2025	Varios lugares	Variado	Consultar	Tema: "¿Cuánto pesa una ciudad?".
7	Rossio Christmas Market	Mercado navideño para comprar regalos y disfrutar del espíritu festivo.	14 nov - 21 dic, 2025	Rossio (Praça de D. Pedro IV)	Baixa-Chiado	Entrada gratuita	Perfecto para comprar artesanía local y productos navideños.
8	Colours Market at Santa Clara Market	Feria de creadores con diseño, artesanía contemporánea, productos regionales y sostenibles.	22 nov - 23 nov	Mercado de Santa Clara	São Vicente	Entrada gratuita	Espacio para el diseño y la creatividad.
9	Mumford & Sons en concierto	Concierto de la popular banda de folk rock británica.	Martes 25 nov, 20:00	Campo Pequeno	Avenidas Novas	Desde 47€+	Un evento destacado para los amantes del Rock/Folk.
10	TURNSTILE	Concierto de la banda de Hardcore/Punk.	Miércoles 26 nov	LAV - Lisboa ao Vivo	Marvila (Cais da Pedra)	Entradas agotadas	Fecha en Lisboa dentro de su gira.
11	Nation of Language	Concierto de la banda de New Wave/Post-Punk.	Viernes 28 nov	LAV - Lisboa ao Vivo	Marvila (Cais da Pedra)	Consultar	Concierto de un grupo en ascenso.
12	Wonderland Lisboa '25	Evento navideño con rueda de la fortuna, mercado, pista de hielo y espíritu festivo.	28 nov - 04 ene, 2026	Parque Eduardo VII	Avenidas Novas	Entrada gratuita (Atracciones pagan)	La famosa noria ofrece vistas panorámicas de Lisboa.
13	Paseo en el Tranvía 28	Experiencia cultural clásica, paseo sinuoso por Alfama y Bairro Alto.	Todos los días	Recorrido turístico	Alfama, Graça, Baixa, Chiado, Bairro Alto	Billete de transporte	Se recomienda empezar temprano para evitar aglomeraciones.
14	Aperitivo de Castañas Asadas	Experiencia de temporada, comprar castañas calientes a vendedores ambulantes.	De mediados de Nov. en adelante	Rossio y otras plazas	Baixa	Bajo costo (por bolsa)	Un auténtico aroma de Lisboa en otoño/invierno.
15	InShadow - Lisbon ScreenDance Festival	Festival de videodanza, promociona la creación contemporánea.	11 nov - 19 dic, 2025	Varios lugares	Variado	Consultar	El único festival de videodanza de Lisboa.
16	Realltech Cabrão Session @ Arroz Estúdios	Evento de música y arte underground.	Sáb 6 dic, 16:00	Arroz Estúdios	Cais Do Sodré/Alcântara	Desde 11,89€	Espacio cultural independiente.
17	ANOTHER BANGER BEST OF AFROBEATS AND AMAPIANO EVENT IN LISBON	Fiesta enfocada en los géneros Afrobeat y Amapiano.	Sáb 13 dic, 23:00	Lodo no Cais	Cais do Sodré	Desde 6,56€	Noche de ritmos africanos y de baile.
18	Ah, Amália - Living Experience	Exposición inmersiva sobre la vida y el legado de la fadista Amália Rodrigues.	Todo el año	A verificar	A verificar	Desde 15€	Viaje único por el patrimonio de la Reina del Fado.
19	Colours Market at Santa Clara Market	Mercado de artesanos y diseñadores con productos hechos a mano.	Todos los fines de semana (sábados y domingos)	Mercado de Santa Clara	São Vicente	Entrada gratuita	Ideal para encontrar regalos y piezas únicas.
20	Feria de Artesanía de Terreiro do Paço	Exposición y venta de artesanía certificada portuguesa.	Todos los sábados y domingos	Terreiro do Paço (Praça do Comércio)	Baixa	Entrada gratuita	Espacio único para la artesanía nacional.
