N°	Nombre del Evento	Descripción	Fecha	Lugar / Dirección	Barrio	Precio	Info Extra
1	Crepe City Sneaker Festival	Festival de zapatillas, moda urbana, música y cultura street. Compra, venta e intercambio de sneakers.	23 de Noviembre (Domingo)	Casa de Campo	Puerta del Ángel (Latina)	Consultar web	Incluye comida, bebida y DJs en directo.
2	Swap Party	Evento de intercambio de ropa y accesorios. Una iniciativa de moda sostenible.	23 de Noviembre (Domingo)	Node Carabanchel	Carabanchel	Consultar web	Contribuye a la moda circular. Ideal para renovar armario.
3	Festival de Otoño de la Comunidad de Madrid	Programación multidisciplinar que incluye teatro, danza, música y exposiciones con artistas nacionales e internacionales.	Hasta el 30 de Noviembre	Varios Teatros de la Ciudad (Ej: Teatros del Canal)	Varios	Variable (algunas actividades gratuitas)	Un referente cultural de Madrid. Consulta la programación específica.
4	JazzMadrid	Festival Internacional de Jazz que ofrece conciertos de grandes figuras y nuevos talentos del género.	Hasta el 30 de Noviembre	Teatro Fernán Gómez, Conde Duque y otros locales	Centro, Chamberí, etc.	Variable (algunos conciertos de pago)	Amplia variedad de estilos de jazz.
5	Festival Eñe	La gran fiesta de la literatura que incluye encuentros con autores, lecturas dramatizadas y actividades en torno al mundo del libro.	Hasta el 26 de Noviembre	Varios espacios (Círculo de Bellas Artes, etc.)	Centro	Consultar web (algunas actividades gratuitas)	Enfocado en la literatura en español.
6	LesGaiCineMad	Festival Internacional de Cine LGBTIAQ+ de Madrid. Exhibición de películas, cortos y documentales.	Hasta el 23 de Noviembre (Último día)	Varias sedes (Cineteca, etc.)	Varios	Consultar web	Uno de los festivales de cine LGTBI+ más importantes de España.
7	Meninas Madrid Gallery	Exposición urbana de figuras de Meninas de Velázquez decoradas por diferentes artistas y personalidades.	Hasta el 15 de Diciembre	Varias localizaciones en las calles de Madrid	Centro, Salamanca, Retiro, etc.	Gratuito (en la calle)	Ideal para paseo y fotos. Hay un mapa para seguir la ruta.
8	WAH Madrid	Espectáculo musical y gastronómico inmersivo que combina cena-show, música en vivo y fiesta.	Hasta el 31 de Diciembre (Jueves a Domingos)	ESPACIO WAH, IFEMA MADRID	Barajas	Consultar web	Cena espectacular con show de nivel internacional.
9	HYROX Madrid	Competición mundial de fitness que combina carrera y ejercicios funcionales en un mismo formato.	27 al 30 de Noviembre	IFEMA MADRID	Barajas	Consultar web para participantes y público	Requiere alta condición física para participar.
10	NEMO, el Musical	Adaptación teatral musical de la película "Buscando a Nemo", ideal para el público infantil y familiar.	29 de Noviembre	Gran Teatro Pavón	La Latina/Centro	Consultar web	Un clásico de Disney en formato musical.
11	Festival Grandes del Góspel	Ciclo de conciertos con las mejores formaciones internacionales del género góspel, un clásico de la Navidad madrileña.	28 de Noviembre al 13 de Diciembre	Fernán Gómez Centro Cultural de la Villa	Salamanca	Consultar web	El mejor góspel para dar la bienvenida a la Navidad.
12	Black Friday 2025	Día de grandes descuentos y promociones en tiendas, centros comerciales y comercios de la ciudad.	28 de Noviembre	Gran Vía, Calle de Serrano, Centros Comerciales	Varios	Gratuito (es un evento de compras)	Es el inicio de la temporada de compras navideñas.
13	Book Friday 2025	Rebajas y descuentos especiales en libros y publicaciones en las casetas de la Cuesta de Moyano.	28 al 30 de Noviembre	Cuesta de Moyano	Retiro	Gratuito (la entrada)	Excelente oportunidad para conseguir libros a buen precio.
14	Madrid Horse Week	Evento hípico internacional que incluye competiciones de salto, doma clásica y espectáculos ecuestres.	28 al 30 de Noviembre	Recinto Ferial de IFEMA Madrid	Barajas	Consultar web	Ideal para amantes de los caballos y la equitación.
15	Retromóvil Madrid	Salón del Vehículo de Época, Colección y Classic Show de Madrid. Exposición y venta de coches y motos clásicas.	28 al 30 de Noviembre	IFEMA MADRID	Barajas	Consultar web	Para aficionados al motor clásico.
16	Encendido de Luces de Navidad	El pistoletazo de salida de la Navidad en Madrid. Se encienden las luces decorativas en las principales calles.	22 de Noviembre (Sábado)	Calles principales (Gran Vía, Alcalá, Sol, etc.)	Centro	Gratuito	El evento atrae a muchísima gente.
17	Circo Price en Navidad: Sueña despierto	El clásico espectáculo navideño del Teatro Circo Price, con acrobacias, música y magia.	21 de Noviembre al 6 de Enero	Teatro Circo Price (Ronda de Atocha, 35)	Embajadores (Centro)	Consultar web	Cita imprescindible para la Navidad madrileña.
18	Navidad de Puy du Fou España	Evento temático navideño que transforma el parque con espectáculos, mercados y ambientación festiva.	29 de Noviembre al 4 de Enero	Puy du Fou (Toledo, cerca de Madrid)	N/A (Fuera de Madrid)	Consultar web	Espectacular ambientación navideña con historia.
19	Manantial de los Sueños (La Fábrica de la Navidad)	Experiencia inmersiva navideña en el Jardín Botánico con luces, decoración, actividades y shows temáticos.	27 de Noviembre al 4 de Enero	Real Jardín Botánico Alfonso XIII (UCM)	Moncloa	Consultar web	Un paseo mágico para toda la familia.
20	TACOS FEST by JARRITOS	Festival temático dedicado a los tacos mexicanos y la cultura latina, con música, food trucks y ambiente festivo.	29 de Noviembre	Autocine Madrid	Chamartín	Consultar web	Ideal para amantes de la comida mexicana.
